id,serial,player_name,club,position,assists,corner_taken,offsides,dribbles,match_played
1,1,Bruno Fernandes,Man. United,Midfielder,7,10,2,7,7
2,2,Vinícius Júnior,Real Madrid,Forward,6,3,4,83,13
3,2,Sané,Bayern,Midfielder,6,3,3,32,10
4,4,Antony,Ajax,Forward,5,3,4,28,7
5,5,Alexander-Arnold,Liverpool,Defender,4,36,0,9,9
6,5,De Bruyne,Man. City,Midfielder,4,18,0,14,10
7,5,Modrić,Real Madrid,Midfielder,4,10,0,8,13
8,5,João Mário,Benfica,Midfielder,4,8,0,7,8
9,5,Mbappé,Paris,Forward,4,4,8,43,8
10,5,Gerard Moreno,Villarreal,Forward,4,0,3,9,7
11,5,Capoue,Villarreal,Midfielder,4,0,0,17,12
12,12,Parejo,Villarreal,Midfielder,3,36,0,4,12
13,12,Grimaldo,Benfica,Defender,3,11,1,10,10
14,12,Müller,Bayern,Forward,3,10,8,2,10
15,12,Arnold,Wolfsburg,Midfielder,3,10,0,1,6
16,12,Angeliño,Leipzig,Defender,3,8,0,4,5
17,12,Coman,Bayern,Forward,3,4,4,59,9
18,12,Bernardo Silva,Man. City,Midfielder,3,2,3,18,11
19,12,Bellingham,Dortmund,Midfielder,3,1,1,24,6
20,12,Zapata,Atalanta,Forward,3,0,7,10,6
21,12,Lewandowski,Bayern,Forward,3,0,7,1,10
22,12,João Cancelo,Man. City,Defender,3,0,2,26,9
23,12,Cristiano,Sheriff,Defender,3,0,1,7,6
24,24,Mahrez,Man. City,Midfielder,2,30,5,28,12
25,24,Robertson,Liverpool,Defender,2,27,1,9,10
26,24,Ziyech,Chelsea,Midfielder,2,23,0,12,9
27,24,Gündoğan,Man. City,Midfielder,2,16,1,3,10
28,24,Tsimikas,Liverpool,Defender,2,16,0,4,5
29,24,Foden,Man. City,Midfielder,2,13,6,12,11
30,24,Pjanic,Beşiktaş,Midfielder,2,9,0,4,3
31,24,Forsberg,Leipzig,Forward,2,9,0,3,6
32,24,Bernardeschi,Juventus,Midfielder,2,7,1,7,5
33,24,Dahoud,Dortmund,Midfielder,2,7,1,3,4
34,24,Pedro Gonçalves,Sporting CP,Midfielder,2,7,0,10,5
35,24,Mount,Chelsea,Midfielder,2,7,0,6,7
36,24,Douglas Santos,Zenit,Defender,2,6,1,3,5
37,24,Rakitskyy,Zenit,Defender,2,6,0,4,6
38,24,Tadić,Ajax,Forward,2,5,5,13,7
39,24,Asensio,Real Madrid,Forward,2,5,0,1,8
40,24,Aaronson,Salzburg,Midfielder,2,4,5,9,8
41,24,Danjuma,Villarreal,Midfielder,2,3,8,31,11
42,24,Shaw,Man. United,Defender,2,3,1,1,5
43,24,Gnabry,Bayern,Forward,2,3,0,12,8
44,24,Griezmann,Atlético,Forward,2,2,1,8,9
45,24,Renan Lodi,Atlético,Defender,2,1,5,9,10
46,24,Rodrygo,Real Madrid,Forward,2,1,1,20,11
47,24,Hudson-Odoi,Chelsea,Midfielder,2,1,1,15,5
48,24,Jorginho,Chelsea,Midfielder,2,1,0,1,8
49,24,André Silva,Leipzig,Forward,2,0,9,5,6
50,24,Sterling,Man. City,Forward,2,0,6,14,12
51,24,Salah,Liverpool,Forward,2,0,5,49,13
52,24,Ikoné,LOSC,Midfielder,2,0,1,15,5
53,24,Werner,Chelsea,Forward,2,0,1,10,5
54,24,Jones,Liverpool,Midfielder,2,0,1,0,4
55,24,Matheus Nunes,Sporting CP,Midfielder,2,0,0,21,6
56,24,Davies,Bayern,Midfielder,2,0,0,18,7
57,24,Mazraoui,Ajax,Defender,2,0,0,13,8
58,24,Mendy,Real Madrid,Defender,2,0,0,8,10
59,24,Keïta,Liverpool,Midfielder,2,0,0,6,10
60,24,Henderson,Liverpool,Midfielder,2,0,0,2,12
61,24,Vidal,Inter,Midfielder,2,0,0,2,7
62,24,Ricardo Esgaio,Sporting CP,Defender,2,0,0,1,8
63,24,Fernandinho,Man. City,Midfielder,2,0,0,1,8
64,64,Seiwald,Salzburg,Midfielder,1,18,1,5,8
