id,serial,player_name,club,position,balls_recoverd,tackles,t_won,t_lost,clearance_attempted,match_played
1,1,Casemiro,Real Madrid,Midfielder,76,31,13,18,19,11
2,1,Éder Militão,Real Madrid,Defender,76,19,6,13,32,12
3,1,Reinildo,Atlético,Defender,76,13,6,7,20,10
4,4,Fabinho,Liverpool,Midfielder,74,23,9,14,8,13
5,5,Albiol,Villarreal,Defender,73,9,6,3,62,12
6,6,Thiago Silva,Chelsea,Defender,65,9,4,5,17,9
7,7,Otamendi,Benfica,Defender,63,28,17,11,48,9
8,8,Capoue,Villarreal,Midfielder,62,11,1,10,29,12
9,8,Van Dijk,Liverpool,Defender,62,3,2,1,29,9
10,10,João Cancelo,Man. City,Defender,56,9,6,3,13,9
11,11,Foyth,Villarreal,Defender,55,20,10,10,30,10
12,11,Pavard,Bayern,Defender,55,12,7,5,17,10
13,13,Konaté,Liverpool,Defender,53,16,11,5,17,8
14,13,Martínez,Ajax,Defender,53,10,2,8,19,8
15,15,Rodri,Man. City,Midfielder,52,14,10,4,5,10
16,15,Estupiñán,Villarreal,Defender,52,8,4,4,31,10
17,17,Vertonghen,Benfica,Defender,51,9,6,3,51,10
18,17,Laporte,Man. City,Defender,51,5,1,4,17,9
19,17,Fernando,Sevilla,Midfielder,51,3,1,2,6,6
20,17,Alexander-Arnold,Liverpool,Defender,51,1,0,1,18,9
21,21,Carvajal,Real Madrid,Defender,50,12,6,6,30,11
22,22,André,LOSC,Midfielder,49,24,12,12,11,7
23,22,Alaba,Real Madrid,Defender,49,18,12,6,28,12
24,22,L. Hernández,Bayern,Defender,49,9,6,3,15,8
25,22,Pau Torres,Villarreal,Defender,49,7,3,4,62,12
26,22,De Ligt,Juventus,Defender,49,5,4,1,24,7
27,27,Gilberto,Benfica,Defender,48,17,8,9,17,9
28,27,Parejo,Villarreal,Midfielder,48,17,8,9,5,12
29,27,Koundé,Sevilla,Defender,48,0,0,0,15,5
30,30,Fonte,LOSC,Defender,47,13,9,4,29,8
31,31,Rüdiger,Chelsea,Defender,46,9,5,4,16,9
32,31,Bastoni,Inter,Defender,46,7,2,5,18,8
33,31,Upamecano,Bayern,Defender,46,4,1,3,16,8
34,34,Rúben Dias,Man. City,Defender,45,11,1,10,16,8
35,35,Seiwald,Salzburg,Midfielder,44,18,6,12,9,8
36,35,Robertson,Liverpool,Defender,44,4,3,1,14,10
37,37,Lauper,Young Boys,Midfielder,43,12,7,5,13,6
38,38,Hendry,Club Brugge,Defender,42,6,4,2,18,6
39,38,Meunier,Dortmund,Defender,42,3,0,3,9,6
40,38,Marquinhos,Paris,Defender,42,2,2,0,36,8
41,41,Kimmich,Bayern,Midfielder,41,15,6,9,3,8
42,41,Camara,Salzburg,Midfielder,41,14,7,7,4,8
43,41,Barrios,Zenit,Midfielder,41,11,7,4,13,6
44,41,Christensen,Chelsea,Defender,41,10,6,4,14,8
45,41,Nsoki,Club Brugge,Defender,41,7,2,5,27,6
46,41,Palomino,Atalanta,Defender,41,6,3,3,14,5
47,41,Ulmer,Salzburg,Defender,41,6,2,4,20,8
48,41,Diego Carlos,Sevilla,Defender,41,3,1,2,20,6
49,49,Souza,Beşiktaş,Midfielder,40,20,12,8,9,5
50,49,Thiago Alcántara,Liverpool,Midfielder,40,16,11,5,5,10
51,49,Mazraoui,Ajax,Defender,40,16,10,6,9,8
52,49,Kondogbia,Atlético,Midfielder,40,15,6,9,7,9
53,49,Süle,Bayern,Defender,40,3,1,2,12,7
54,54,Fernando Costanza,Sheriff,Defender,39,19,13,6,39,6
55,54,Wöber,Salzburg,Defender,39,14,6,8,36,7
56,54,Gvardiol,Leipzig,Defender,39,9,5,4,12,6
57,54,Modrić,Real Madrid,Midfielder,39,9,3,6,4,13
58,54,Tiago Djaló,LOSC,Defender,39,8,6,2,24,7
59,54,Guilavogui,Wolfsburg,Midfielder,39,6,1,5,26,5
60,54,Akanji,Dortmund,Defender,39,5,2,3,12,5
61,61,Brozović,Inter,Midfielder,38,15,6,9,6,8
