id,serial,player_name,club,position,fouls_committed,fouls_suffered,red,yellow,minutes_played,match_played
1,1,João Palhinha,Sporting CP,Midfielder,23,17,2,0,534,6
2,2,Capoue,Villarreal,Midfielder,19,17,3,1,1046,12
3,2,Rodri,Man. City,Midfielder,19,4,2,0,842,10
4,2,Seiwald,Salzburg,Midfielder,19,3,2,0,649,8
5,5,Balanta,Club Brugge,Midfielder,18,3,4,0,407,5
6,6,Casemiro,Real Madrid,Midfielder,17,18,3,0,914,11
7,6,Éder Militão,Real Madrid,Defender,17,16,4,0,1076,12
8,6,Otamendi,Benfica,Defender,17,11,2,0,810,9
9,6,Gravenberch,Ajax,Midfielder,17,11,1,0,703,8
10,6,Haller,Ajax,Forward,17,11,1,0,668,8
11,6,Álvarez,Ajax,Midfielder,17,6,4,0,558,7
12,12,Mané,Liverpool,Midfielder,16,19,2,0,822,13
13,12,Gilberto,Benfica,Defender,16,13,1,0,715,9
14,12,Luis Díaz,Porto,Forward,16,10,1,0,908,13
15,12,Gavi,Barcelona,Midfielder,16,7,2,0,398,6
16,16,Reinildo,Atlético,Defender,15,15,2,0,816,10
17,16,Capaldo,Salzburg,Midfielder,15,8,3,0,281,7
18,16,Keïta,Liverpool,Midfielder,15,7,0,0,487,10
19,16,Carvajal,Real Madrid,Defender,15,6,3,0,959,11
20,20,Camara,Salzburg,Midfielder,14,23,2,0,672,8
21,20,Fabinho,Liverpool,Midfielder,14,11,1,0,849,13
22,20,Sterling,Man. City,Forward,14,10,1,0,581,12
23,20,Renan Lodi,Atlético,Defender,14,6,0,0,478,10
24,20,Addo,Sheriff,Midfielder,14,4,3,0,491,6
25,20,Kristensen,Salzburg,Defender,14,4,1,0,720,8
26,26,Vinícius Júnior,Real Madrid,Forward,13,24,1,0,1199,13
27,26,João Mário,Benfica,Midfielder,13,13,2,0,493,8
28,26,Marcos Llorente,Atlético,Midfielder,13,10,3,0,700,9
29,26,Ziyech,Chelsea,Midfielder,13,8,2,0,446,9
30,26,Ulmer,Salzburg,Defender,13,2,2,0,716,8
31,31,De Paul,Atlético,Midfielder,12,13,2,0,577,9
32,31,Havertz,Chelsea,Midfielder,12,9,1,0,672,9
33,31,Otávio,Porto,Midfielder,12,8,1,0,450,6
34,31,Dumfries,Inter,Defender,12,7,1,0,467,7
35,31,Rakip,Malmö,Midfielder,12,6,1,0,273,6
36,31,Acuña,Sevilla,Defender,12,6,0,0,379,5
37,31,Milner,Liverpool,Midfielder,12,4,3,0,211,8
38,31,Vrsaljko,Atlético,Defender,12,2,1,0,304,5
39,31,Kanté,Chelsea,Midfielder,12,2,0,0,427,6
