serial,player_name,club,position,saved,conceded,saved_penalties,cleansheets,punches made,match_played,id
1,Courtois,Real Madrid,Goalkeeper,61,14,1,5,4,13,1
2,Rulli,Villarreal,Goalkeeper,41,16,0,3,12,12,2
3,Vlachodimos,Benfica,Goalkeeper,38,17,1,5,5,10,3
4,Athanasiadis,Sheriff,Goalkeeper,29,8,0,1,2,5,4
5,Mignolet,Club Brugge,Goalkeeper,28,20,0,0,1,6,5
6,Oblak,Atlético,Goalkeeper,26,10,0,3,2,10,6
7,Musso,Atalanta,Goalkeeper,21,13,0,1,1,6,7
8,Ersin Destanoğlu,Beşiktaş,Goalkeeper,20,17,0,0,0,5,8
9,De Gea,Man. United,Goalkeeper,19,9,0,1,0,7,9
9,Dahlin,Malmö,Goalkeeper,19,8,1,0,3,4,10
11,Diogo Costa,Porto,Goalkeeper,18,11,0,2,2,6,11
11,Trubin,Shakhtar Donetsk,Goalkeeper,18,9,0,0,0,3,12
11,Casteels,Wolfsburg,Goalkeeper,18,8,0,1,2,5,13
11,Donnarumma,Paris,Goalkeeper,18,6,1,2,9,5,14
15,Adán,Sporting CP,Goalkeeper,17,13,0,2,8,7,15
16,Köhn,Salzburg,Goalkeeper,16,14,0,1,3,8,16
16,Ter Stegen,Barcelona,Goalkeeper,16,9,0,3,2,6,17
18,Alisson Becker,Liverpool,Goalkeeper,15,14,0,4,3,13,18
19,Ederson,Man. City,Goalkeeper,14,14,0,4,1,11,19
19,Kobel,Dortmund,Goalkeeper,14,11,1,2,1,6,20
19,Szczęsny,Juventus,Goalkeeper,14,10,0,3,3,7,21
19,Maignan,Milan,Goalkeeper,14,7,1,0,1,3,22
19,Neuer,Bayern,Goalkeeper,14,6,0,4,1,9,23
19,Bounou,Sevilla,Goalkeeper,14,5,0,2,1,6,24
25,Bushchan,Dynamo Kyiv,Goalkeeper,13,11,0,0,4,5,25
25,Pasveer,Ajax,Goalkeeper,13,6,0,2,2,6,26
25,Diawara,Malmö,Goalkeeper,13,6,0,0,1,3,27
25,Grbić,LOSC,Goalkeeper,13,4,0,3,1,6,28
29,Handanovič,Inter,Goalkeeper,12,7,0,3,5,8,29
29,Kritsyuk,Zenit,Goalkeeper,12,6,0,1,10,4,30
29,Faivre,Young Boys,Goalkeeper,12,6,0,0,1,3,31
32,Gulácsi,Leipzig,Goalkeeper,11,14,0,0,0,5,32
32,Navas,Paris,Goalkeeper,11,5,0,0,3,3,33
34,Mendy,Chelsea,Goalkeeper,9,7,0,5,2,9,34
34,Von Ballmoos,Young Boys,Goalkeeper,9,6,0,0,1,3,35
36,Tătăruşanu,Milan,Goalkeeper,8,2,0,1,2,3,36
37,Celeadnic,Sheriff,Goalkeeper,6,3,0,0,1,1,37
38,M. Kerzhakov,Zenit,Goalkeeper,5,4,0,0,0,2,38
38,Pyatov,Shakhtar Donetsk,Goalkeeper,5,2,0,2,4,3,39
38,Pervan,Wolfsburg,Goalkeeper,5,2,0,0,0,1,40
41,Leo Jardim,LOSC,Goalkeeper,4,4,0,0,0,2,41
41,Kepa,Chelsea,Goalkeeper,4,3,0,0,0,1,42
41,Günok,Beşiktaş,Goalkeeper,4,2,0,0,0,1,43
41,Ulreich,Bayern,Goalkeeper,4,1,0,0,2,1,44
41,Boyko,Dynamo Kyiv,Goalkeeper,4,0,0,1,2,1,45
46,João Virginia,Sporting CP,Goalkeeper,3,4,0,0,0,1,46
46,Steffen,Man. City,Goalkeeper,3,2,0,0,1,1,47
46,Henderson,Man. United,Goalkeeper,3,1,0,0,1,1,48
46,Martínez,Leipzig,Goalkeeper,3,0,0,1,0,1,49
50,Onana,Ajax,Goalkeeper,2,2,0,0,0,2,50
50,Perin,Juventus,Goalkeeper,2,0,0,1,0,1,51
52,Shevchenko,Shakhtar Donetsk,Goalkeeper,1,1,0,0,0,1,52
52,Carson,Man. City,Goalkeeper,1,0,0,1,0,1,53
