id,serial,player_name,club,position,goals,right_foot,left_foot,headers,others,inside_area,outside_areas,penalties,match_played
1,1,Benzema,Real Madrid,Forward,15,11,1,3,0,13,2,3,12
2,2,Lewandowski,Bayern,Forward,13,8,3,1,1,13,0,3,10
3,3,Haller,Ajax,Forward,11,3,4,3,1,11,0,1,8
4,4,Salah,Liverpool,Forward,8,0,8,0,0,7,1,1,13
5,5,Nkunku,Leipzig,Midfielder,7,3,1,3,0,7,0,0,6
6,5,Mahrez,Man. City,Midfielder,7,1,4,2,0,7,0,2,12
7,7,Mbappé,Paris,Forward,6,6,0,0,0,6,0,0,8
8,7,Núñez,Benfica,Forward,6,5,0,1,0,6,0,1,10
9,7,Ronaldo,Man. United,Forward,6,5,0,1,0,4,2,0,7
10,7,Danjuma,Villarreal,Midfielder,6,3,3,0,0,6,0,1,11
11,7,Sané,Bayern,Midfielder,6,1,5,0,0,3,3,0,10
12,12,Firmino,Liverpool,Midfielder,5,3,1,1,0,4,1,0,6
13,12,Mané,Liverpool,Midfielder,5,2,3,0,0,5,0,0,13
14,12,Rodrygo,Real Madrid,Forward,5,2,2,1,0,5,0,0,10
15,12,Messi,Paris,Forward,5,0,5,0,0,3,2,2,7
16,16,Jesus,Man. City,Forward,4,4,0,0,0,4,0,0,8
17,16,Werner,Chelsea,Forward,4,4,0,0,0,4,0,0,5
18,16,Pedro Gonçalves,Sporting CP,Midfielder,4,4,0,0,0,3,1,1,5
19,16,Vinícius Júnior,Real Madrid,Forward,4,3,1,0,0,4,0,0,13
20,16,Luis Díaz,Liverpool,Forward,4,2,1,1,0,4,0,0,13
21,16,Müller,Bayern,Forward,4,1,2,1,0,3,1,0,10
22,16,Griezmann,Atlético,Forward,4,0,4,0,0,4,0,0,9
23,23,Reus,Dortmund,Midfielder,3,3,0,0,0,3,0,2,6
24,23,Okafor,Salzburg,Midfielder,3,3,0,0,0,3,0,0,6
25,23,Vanaken,Club Brugge,Midfielder,3,3,0,0,0,3,0,0,6
26,23,Zapata,Atalanta,Forward,3,2,1,0,0,3,0,0,6
