id,player_name,club,position,minutes_played,match_played,goals,assists,distance_covered
1,Courtois,Real Madrid,Goalkeeper,1230,13,0,0,64.2
2,Vinícius Júnior,Real Madrid,Forward,1199,13,4,6,133
3,Benzema,Real Madrid,Forward,1106,12,15,1,121.5
4,Modrić,Real Madrid,Midfielder,1077,13,0,4,124.5
5,Éder Militão,Real Madrid,Defender,1076,12,0,0,110.4
6,Alaba,Real Madrid,Defender,1040,12,1,0,112.3
7,Carvajal,Real Madrid,Defender,959,11,0,1,112.8
8,Casemiro,Real Madrid,Midfielder,914,11,0,0,107.6
9,Kroos,Real Madrid,Midfielder,902,12,2,0,116.5
10,Mendy,Real Madrid,Defender,867,10,0,2,96.3
11,Valverde,Real Madrid,Midfielder,804,11,0,1,96.7
12,Nacho,Real Madrid,Defender,574,9,0,0,61.9
13,Rodrygo,Real Madrid,Forward,505,11,5,2,65.7
14,Lucas Vázquez,Real Madrid,Midfielder,349,8,0,1,47.4
15,Camavinga,Real Madrid,Midfielder,296,10,0,1,40.2
16,Asensio,Real Madrid,Forward,207,8,1,2,28.4
17,Jović,Real Madrid,Forward,113,3,0,0,12.9
18,Marcelo,Real Madrid,Defender,93,3,0,0,10.7
19,E. Hazard,Real Madrid,Forward,84,3,0,0,10.8
20,Miguel Gutiérrez,Real Madrid,Defender,66,1,0,0,7.7
21,Ceballos,Real Madrid,Midfielder,37,5,0,0,7.8
22,Mariano Díaz,Real Madrid,Forward,12,1,0,0,1.6
23,Vallejo,Real Madrid,Defender,8,2,0,0,1.5
24,Bale,Real Madrid,Forward,7,2,0,0,2.2
25,Blanco,Real Madrid,Midfielder,6,1,0,0,1.3
26,Alisson Becker,Liverpool,Goalkeeper,1170,13,0,0,68.8
27,Salah,Liverpool,Forward,1008,13,8,2,112
28,Fabinho,Liverpool,Midfielder,849,13,1,0,105.5
29,Robertson,Liverpool,Defender,826,10,0,2,97.7
30,Mané,Liverpool,Midfielder,822,13,5,1,100.3
31,Van Dijk,Liverpool,Defender,810,9,0,1,82.8
32,Alexander-Arnold,Liverpool,Defender,794,9,0,4,86.8
33,Konaté,Liverpool,Defender,720,8,2,0,78.5
34,Henderson,Liverpool,Midfielder,666,12,1,2,85.7
35,Matip,Liverpool,Defender,630,7,0,0,66.2
36,Thiago Alcántara,Liverpool,Midfielder,604,10,1,0,77.9
37,Diogo Jota,Liverpool,Forward,578,11,1,1,73.9
38,Keïta,Liverpool,Midfielder,487,10,1,2,61.5
39,Luis Díaz,Liverpool,Forward,385,7,2,1,49.9
40,Tsimikas,Liverpool,Defender,344,5,0,2,42.7
41,Firmino,Liverpool,Midfielder,323,7,5,0,43
42,Oxlade-Chamberlain,Liverpool,Midfielder,300,6,0,1,38.6
43,Gomez,Liverpool,Defender,245,7,0,0,30.4
44,Minamino,Liverpool,Forward,215,4,0,0,29.7
45,Milner,Liverpool,Midfielder,211,8,0,1,32
46,Origi,Liverpool,Forward,187,7,1,1,23.8
47,Jones,Liverpool,Midfielder,185,4,0,2,27.1
48,N. Williams,Liverpool,Defender,180,3,0,0,23.5
49,Morton,Liverpool,Midfielder,180,2,0,0,23.5
50,Phillips,Liverpool,Defender,91,2,0,0,11.2
51,Elliott,Liverpool,Midfielder,59,1,0,0,7.9
52,Woltman,Liverpool,Midfielder,1,1,0,0,0.4
53,Bradley,Liverpool,Midfielder,1,1,0,0,0.4
54,Pau Torres,Villarreal,Defender,1080,12,1,0,124.2
55,Rulli,Villarreal,Goalkeeper,1080,12,0,0,61.2
56,Parejo,Villarreal,Midfielder,1055,12,1,3,130.9
57,Capoue,Villarreal,Midfielder,1046,12,2,4,130.9
58,Albiol,Villarreal,Defender,1045,12,0,0,115.7
59,Ederson,Man. City,Goalkeeper,1003,11,0,0,51.6
60,Mahrez,Man. City,Midfielder,986,12,7,2,120.1
61,Danjuma,Villarreal,Midfielder,906,11,6,2,107.8
62,Vertonghen,Benfica,Defender,900,10,0,1,97.9
63,Vlachodimos,Benfica,Goalkeeper,900,10,0,0,55.4
64,Oblak,Atlético,Goalkeeper,900,10,0,0,52.7
65,Foyth,Villarreal,Defender,891,10,0,0,98.7
66,Bernardo Silva,Man. City,Midfielder,878,11,3,3,120.3
67,Lewandowski,Bayern,Forward,876,10,13,3,99.7
68,Grimaldo,Benfica,Defender,863,10,0,3,107.7
69,Rodri,Man. City,Midfielder,842,10,0,0,114.6
70,João Cancelo,Man. City,Defender,840,9,2,3,100.3
71,Rüdiger,Chelsea,Defender,840,9,1,0,88.4
72,Mendy,Chelsea,Goalkeeper,840,9,0,0,57.4
73,Reinildo,LOSC,Defender,816,10,0,0,88.8
74,Neuer,Bayern,Goalkeeper,810,9,0,1,51.2
75,Weigl,Benfica,Midfielder,810,9,0,0,112
76,Otamendi,Benfica,Defender,810,9,0,0,91.2
77,Sané,Bayern,Midfielder,798,10,6,6,94
78,Laporte,Man. City,Defender,794,9,0,0,90.9
79,Müller,Bayern,Forward,778,10,4,3,98.5
80,Pavard,Bayern,Defender,764,10,0,1,96.7
81,Thiago Silva,Chelsea,Defender,757,9,0,1,71.7
82,De Bruyne,Man. City,Midfielder,734,10,2,4,95.5
83,Škriniar,Inter,Defender,720,8,1,0,85.1
84,Kristensen,Salzburg,Defender,720,8,0,1,85.5
85,Martínez,Ajax,Defender,720,8,0,1,83.3
86,Marquinhos,Paris,Defender,720,8,0,1,78.5
87,Fonte,LOSC,Defender,720,8,0,0,81.3
88,Köhn,Salzburg,Goalkeeper,720,8,0,0,43.8
89,Handanovič,Inter,Goalkeeper,720,8,0,0,32
90,Hakimi,Paris,Defender,718,8,0,0,85.3
91,Ulmer,Salzburg,Defender,716,8,0,0,84.2
92,Gilberto,Benfica,Defender,715,9,1,0,85.7
